35 72 65 98 50 87 63 70 67 67 
23 25 100 65 83 60 65 41 33 92 
7 42 38 0 81 99 27 43 73 69 
23 19 23 68 79 52 94 79 35 68 
28 9 13 95 50 89 6 3 57 95 
63 87 38 25 99 4 75 46 94 69 
32 58 91 48 34 58 95 90 3 100 
48 54 33 34 11 25 63 31 25 53 
41 16 54 12 23 84 33 62 96 94 
56 27 33 96 28 44 33 98 39 0 
36 41 19 97 14 5 23 32 46 73 
63 79 89 21 27 21 63 85 95 69 
45 31 30 87 34 15 86 85 35 64 
68 53 34 90 49 95 56 88 95 99 
81 31 50 42 71 84 3 46 82 33 
72 100 28 52 66 14 6 16 3 82 
48 95 83 87 81 22 27 10 29 14 
47 14 70 2 70 74 27 46 33 45 
19 79 4 44 44 20 84 28 74 4 
34 6 80 26 99 79 71 7 59 18 
12 79 1 56 44 30 12 86 70 67 
40 55 27 8 85 52 92 26 64 58 
4 63 36 33 77 36 33 28 38 51 
97 74 16 42 82 63 36 7 93 46 
1 17 36 85 39 33 12 50 7 3 
87 15 76 69 36 26 29 48 77 6 
3 93 27 0 59 82 40 75 70 51 
47 39 2 82 76 65 1 81 9 37 
75 14 92 47 34 47 39 66 34 52 
6 63 96 66 66 60 45 88 3 66 
16 69 6 29 15 60 30 20 42 44 
79 60 24 77 34 1 98 44 1 23 
78 54 72 72 29 95 4 26 30 6 
40 96 95 16 96 50 73 7 71 91 
47 23 16 8 34 24 13 34 8 56 
44 83 84 18 25 48 60 84 74 21 
60 69 52 44 13 30 48 26 11 65 
28 37 71 39 87 79 29 2 44 10 
79 72 28 65 32 92 76 59 11 86 
39 57 27 39 10 64 31 38 92 86 
46 15 36 3 6 63 45 83 71 86 
13 20 77 15 6 6 98 64 48 23 
20 44 47 74 73 73 46 42 53 59 
34 59 96 58 54 71 47 56 28 6 
67 48 83 82 65 89 97 88 0 97 
56 72 5 84 24 90 84 32 93 78 
18 48 34 36 25 73 75 19 11 61 
67 56 29 77 55 47 7 0 57 39 
40 23 42 60 41 19 35 82 40 76 
84 10 83 54 2 41 50 87 19 36 
56 24 0 80 17 30 67 94 50 95 
94 48 32 74 49 24 86 60 22 87 
56 60 82 58 26 60 1 70 18 96 
11 20 26 14 19 46 11 26 81 13 
51 36 65 48 26 10 23 83 9 92 
67 75 18 74 83 7 86 84 71 8 
39 65 18 39 18 93 95 98 23 92 
49 90 38 53 96 35 78 92 23 78 
52 64 71 32 80 88 7 71 36 94 
47 33 100 76 37 54 72 70 75 6 
29 42 52 18 64 53 62 93 19 61 
71 65 79 92 34 93 8 76 83 41 
8 93 76 50 46 52 7 39 20 35 
50 66 9 20 60 90 8 79 92 7 
44 7 27 47 67 37 31 90 10 91 
92 36 17 62 51 96 62 59 31 3 
57 70 28 97 61 67 56 6 8 20 
47 83 93 2 30 42 35 100 65 20 
79 79 -1
