60 46 85 88 100 8 69 20 80 71 
2 25 24 49 94 49 99 90 94 92 
82 26 47 63 71 13 44 42 76 41 
18 46 99 15 52 3 65 57 7 58 
37 6 54 63 9 65 24 75 46 13 
29 14 24 53 16 31 34 92 81 55 
68 16 82 6 28 24 51 38 18 0 
5 24 39 66 30 5 36 97 96 37 
1 94 33 71 31 40 51 75 46 19 
66 77 35 85 44 11 45 87 31 65 
28 42 66 91 23 49 69 59 14 68 
9 92 16 42 1 98 80 40 12 40 
21 68 96 41 20 67 29 79 22 36 
80 83 6 81 3 63 35 100 44 41 
27 9 84 100 46 97 52 56 19 27 
71 83 53 45 35 53 35 21 46 55 
28 37 84 60 71 9 62 72 71 54 
36 99 33 48 17 57 12 31 31 67 
59 57 38 75 25 85 18 87 79 72 
15 74 9 84 68 68 7 5 50 51 
95 65 69 20 60 65 9 95 31 23 
9 7 95 56 82 56 50 55 6 60 
82 71 84 19 37 91 2 2 63 99 
49 72 62 85 3 24 66 93 41 36 
42 6 61 81 7 42 38 28 73 27 
73 32 62 5 66 12 20 45 65 63 
27 70 64 96 66 59 48 85 85 62 
18 100 79 52 47 49 69 33 26 59 
21 89 60 49 6 88 48 52 14 81 
63 29 50 12 15 8 68 36 71 45 
62 12 5 78 40 56 83 87 62 54 
20 19 57 3 49 98 8 0 85 41 
33 34 11 72 9 0 90 13 33 79 
18 8 34 22 48 14 32 52 26 84 
32 28 23 62 26 52 65 7 16 5 
56 6 95 32 59 43 13 33 58 22 
39 83 84 46 64 95 48 90 16 17 
27 99 25 30 16 86 6 74 69 81 
39 90 99 25 83 74 14 8 45 91 
47 53 57 63 66 45 60 44 2 17 
13 45 41 93 0 47 39 27 60 100 
85 32 99 21 44 62 76 36 21 36 
88 65 9 17 36 78 55 48 91 93 
51 63 3 78 57 96 77 44 46 1 
70 60 24 46 6 94 67 66 32 22 
13 19 95 100 67 45 64 77 72 13 
80 4 75 9 67 58 55 66 18 14 
27 27 26 35 34 66 46 24 25 30 
92 59 30 10 9 47 22 77 51 25 
16 24 70 38 51 50 56 19 89 62 
18 76 42 3 75 21 80 91 16 100 
2 29 72 58 58 30 47 32 81 27 
59 92 94 23 3 90 11 68 70 68 
19 99 0 24 52 23 65 58 47 48 
60 0 95 43 85 49 17 59 69 26 
28 18 58 34 82 53 81 54 73 56 
64 87 28 19 30 41 12 10 14 22 
83 78 79 74 67 17 67 38 90 90 
5 3 20 83 70 71 52 38 4 78 
50 36 9 88 84 80 94 15 79 43 
35 17 23 79 34 94 9 1 90 18 
33 28 34 85 38 70 95 22 97 63 
93 16 10 89 37 60 4 51 15 21 
44 16 17 36 55 5 0 15 27 39 
62 42 70 8 3 63 62 7 13 100 
37 67 79 9 94 50 65 9 99 47 
54 24 61 36 32 21 55 98 56 3 
64 95 61 55 96 67 65 40 69 4 
88 30 16 62 84 34 77 83 52 29 
24 80 53 89 47 83 31 15 89 95 
34 77 2 96 10 72 26 49 14 69 
93 16 60 86 40 28 57 20 37 52 
79 31 27 48 87 76 62 30 60 65 
84 49 31 62 14 35 19 42 55 20 
74 60 32 93 64 88 32 49 38 96 
78 3 19 74 60 33 1 25 64 3 
86 32 48 29 99 58 49 54 14 62 
21 68 14 72 75 16 14 13 49 77 
36 53 26 77 73 59 8 63 46 33 
93 89 58 57 46 28 92 11 12 42 
20 56 71 82 63 63 60 52 7 34 
55 77 63 11 82 43 29 39 19 46 
28 46 3 95 74 95 37 86 35 24 
82 13 83 70 40 67 63 42 9 23 
17 33 87 29 45 26 55 68 47 36 
60 95 25 66 17 38 42 47 11 67 
44 39 59 29 41 21 10 54 57 74 
3 23 56 88 75 30 56 68 83 9 
35 5 74 32 5 89 97 54 65 76 
65 6 62 64 72 42 60 19 43 74 
51 74 60 89 16 88 68 41 -1
